2022-05-15 18:42:21.379  INFO [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:21.380  INFO [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:42:21.383  INFO [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:42:21.384 ERROR [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : ERROR-username not found
2022-05-15 18:42:21.384 ERROR [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : EXCEPTION - generateToken
2022-05-15 18:42:21.385  INFO [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.exception.ControllerAdviceClass      : STARTED - controllerAdviceResponse
2022-05-15 18:42:21.385  INFO [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] c.c.exception.ControllerAdviceClass      : END - controllerAdviceResponse
2022-05-15 18:42:21.390  WARN [authorizationService,c0570dd83f9151db,5d7c27b82ac767bf] 8440 --- [http-nio-9090-exec-5] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFound: user not found]
2022-05-15 18:42:33.346  INFO [authorizationService,f35739651ef62528,19d9dd6b75f3dbf2] 8440 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:33.347  INFO [authorizationService,f35739651ef62528,19d9dd6b75f3dbf2] 8440 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:42:33.348  INFO [authorizationService,f35739651ef62528,19d9dd6b75f3dbf2] 8440 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:42:33.350  INFO [authorizationService,f35739651ef62528,19d9dd6b75f3dbf2] 8440 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : END - generateToken
